"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/02/2023";"0000";"20,8";"21,5";"20,7";"99,0";"100,0";"93,0";"20,7";"20,7";"20,2";"926,9";"927,0";"926,4";"1,4";"154,0";"4,6";"";"0,0"
"10/02/2023";"0100";"20,4";"20,8";"20,3";"100,0";"100,0";"99,0";"20,4";"20,7";"20,3";"927,3";"927,3";"926,8";"1,3";"137,0";"3,5";"";"0,0"
"10/02/2023";"0200";"20,4";"20,5";"20,2";"100,0";"100,0";"100,0";"20,4";"20,5";"20,2";"927,5";"927,7";"927,3";"0,6";"126,0";"2,7";"";"0,0"
"10/02/2023";"0300";"20,6";"20,6";"19,7";"100,0";"100,0";"100,0";"20,6";"20,6";"19,7";"927,6";"927,6";"927,4";"1,2";"15,0";"2,9";"";"0,0"
"10/02/2023";"0400";"20,5";"20,7";"20,2";"99,0";"100,0";"99,0";"20,3";"20,7";"20,1";"926,7";"927,6";"926,7";"0,7";"12,0";"2,9";"";"0,0"
"10/02/2023";"0500";"20,3";"20,8";"20,1";"99,0";"100,0";"97,0";"20,1";"20,4";"20,0";"926,4";"926,7";"926,3";"1,0";"75,0";"2,7";"";"0,0"
"10/02/2023";"0600";"20,8";"21,0";"20,2";"99,0";"99,0";"97,0";"20,6";"20,7";"20,0";"925,6";"926,5";"925,6";"1,1";"129,0";"2,8";"";"0,0"
"10/02/2023";"0700";"21,2";"21,3";"20,8";"96,0";"99,0";"96,0";"20,6";"20,8";"20,5";"925,8";"925,8";"925,5";"1,8";"63,0";"4,7";"";"0,0"
"10/02/2023";"0800";"21,0";"21,4";"21,0";"96,0";"97,0";"95,0";"20,4";"20,8";"20,4";"925,8";"926,0";"925,7";"1,1";"38,0";"5,2";"";"0,0"
"10/02/2023";"0900";"19,8";"21,0";"19,8";"100,0";"100,0";"96,0";"19,8";"20,5";"19,8";"926,0";"926,0";"925,7";"1,0";"324,0";"4,6";"2,50";"0,0"
"10/02/2023";"1000";"21,8";"21,9";"19,8";"91,0";"100,0";"91,0";"20,3";"21,2";"19,8";"926,8";"926,8";"926,0";"2,4";"310,0";"4,3";"374,20";"0,0"
"10/02/2023";"1100";"23,5";"23,5";"21,8";"81,0";"93,0";"81,0";"20,0";"20,7";"19,7";"927,2";"927,2";"926,8";"1,4";"310,0";"4,6";"1025,70";"0,0"
"10/02/2023";"1200";"25,3";"25,3";"23,5";"73,0";"83,0";"73,0";"20,0";"20,8";"19,3";"927,4";"927,6";"927,2";"1,8";"345,0";"4,4";"1852,10";"0,0"
"10/02/2023";"1300";"26,2";"26,8";"25,0";"65,0";"73,0";"64,0";"19,2";"20,7";"19,0";"927,4";"927,5";"927,3";"2,1";"332,0";"5,8";"2513,50";"0,0"
"10/02/2023";"1400";"28,0";"28,6";"26,3";"61,0";"67,0";"57,0";"19,7";"20,6";"18,7";"927,3";"927,5";"927,3";"2,6";"335,0";"5,8";"3176,80";"0,0"
"10/02/2023";"1500";"29,6";"29,7";"28,0";"52,0";"64,0";"51,0";"18,6";"21,1";"18,4";"926,8";"927,3";"926,8";"2,7";"311,0";"6,2";"2790,10";"0,0"
"10/02/2023";"1600";"29,8";"30,1";"27,9";"50,0";"62,0";"49,0";"18,4";"20,4";"17,6";"926,2";"926,8";"926,2";"2,0";"315,0";"6,0";"2717,50";"0,0"
"10/02/2023";"1700";"23,6";"30,8";"23,5";"95,0";"95,0";"44,0";"22,8";"23,0";"16,8";"926,0";"926,2";"925,9";"3,2";"143,0";"8,7";"1532,40";"0,0"
"10/02/2023";"1800";"20,4";"23,6";"20,2";"93,0";"98,0";"76,0";"19,1";"22,7";"17,7";"926,1";"926,6";"926,0";"1,9";"176,0";"7,9";"217,90";"0,4"
"10/02/2023";"1900";"22,0";"22,0";"20,4";"100,0";"100,0";"93,0";"21,9";"21,9";"19,3";"925,4";"926,1";"925,3";"3,5";"140,0";"6,4";"521,90";"0,0"
"10/02/2023";"2000";"22,1";"22,5";"21,5";"96,0";"100,0";"94,0";"21,4";"22,0";"21,1";"925,0";"925,4";"924,9";"3,4";"138,0";"6,9";"640,80";"0,0"
"10/02/2023";"2100";"22,0";"22,5";"22,0";"94,0";"96,0";"92,0";"21,0";"21,6";"20,8";"924,8";"925,1";"924,8";"2,5";"122,0";"6,9";"272,90";"0,0"
"10/02/2023";"2200";"21,8";"22,0";"21,7";"97,0";"97,0";"94,0";"21,2";"21,4";"20,9";"926,2";"926,2";"924,8";"1,9";"102,0";"5,8";"17,50";"0,0"
"10/02/2023";"2300";"21,7";"21,9";"21,7";"94,0";"97,0";"93,0";"20,8";"21,3";"20,7";"927,1";"927,1";"926,2";"1,7";"121,0";"5,6";"";"0,0"
