"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/02/2023";"0000";"21,6";"22,4";"21,5";"82,0";"82,0";"78,0";"18,4";"18,5";"18,3";"925,6";"925,6";"925,1";"1,4";"129,0";"5,0";"";"0,0"
"10/02/2023";"0100";"21,5";"21,7";"21,5";"83,0";"83,0";"80,0";"18,4";"18,5";"18,1";"926,0";"926,1";"925,6";"2,7";"128,0";"5,9";"";"0,0"
"10/02/2023";"0200";"20,8";"21,5";"20,8";"84,0";"84,0";"83,0";"17,9";"18,4";"17,9";"926,4";"926,5";"926,0";"2,3";"111,0";"6,3";"";"0,0"
"10/02/2023";"0300";"20,5";"20,8";"20,5";"85,0";"85,0";"84,0";"17,9";"18,0";"17,8";"926,2";"926,5";"926,2";"1,4";"120,0";"5,8";"";"0,0"
"10/02/2023";"0400";"20,3";"20,5";"20,3";"86,0";"86,0";"85,0";"17,8";"17,9";"17,8";"925,6";"926,2";"925,5";"1,8";"119,0";"3,6";"";"0,0"
"10/02/2023";"0500";"20,0";"20,3";"20,0";"87,0";"87,0";"86,0";"17,9";"18,0";"17,7";"925,2";"925,6";"925,2";"0,8";"80,0";"3,8";"";"0,0"
"10/02/2023";"0600";"20,3";"20,3";"19,8";"88,0";"88,0";"87,0";"18,3";"18,3";"17,8";"924,3";"925,2";"924,3";"1,3";"131,0";"3,2";"";"0,0"
"10/02/2023";"0700";"20,4";"20,8";"20,3";"85,0";"88,0";"85,0";"17,8";"18,5";"17,8";"924,7";"924,7";"924,3";"1,4";"71,0";"5,8";"";"0,0"
"10/02/2023";"0800";"19,8";"20,4";"19,8";"87,0";"87,0";"85,0";"17,6";"17,9";"17,6";"924,6";"924,8";"924,4";"0,2";"240,0";"3,8";"";"0,0"
"10/02/2023";"0900";"19,8";"20,0";"19,8";"89,0";"89,0";"87,0";"18,0";"18,0";"17,6";"924,9";"924,9";"924,5";"0,0";"184,0";"1,1";"11,30";"0,0"
"10/02/2023";"1000";"21,7";"21,7";"19,8";"83,0";"90,0";"83,0";"18,8";"18,9";"18,0";"925,8";"925,8";"924,9";"1,5";"290,0";"4,0";"585,80";"0,0"
"10/02/2023";"1100";"22,7";"22,7";"21,8";"70,0";"83,0";"70,0";"16,9";"19,0";"16,7";"926,3";"926,3";"925,8";"2,6";"352,0";"5,7";"1195,20";"0,0"
"10/02/2023";"1200";"24,8";"25,1";"22,7";"62,0";"70,0";"61,0";"17,0";"17,7";"16,7";"926,3";"926,5";"926,3";"2,5";"50,0";"7,2";"2471,40";"0,0"
"10/02/2023";"1300";"25,9";"26,3";"24,5";"59,0";"63,0";"58,0";"17,2";"17,8";"16,7";"926,4";"926,5";"926,3";"2,7";"41,0";"6,5";"3097,30";"0,0"
"10/02/2023";"1400";"27,9";"27,9";"25,9";"55,0";"60,0";"53,0";"18,1";"18,4";"17,2";"926,3";"926,4";"926,2";"3,0";"355,0";"6,2";"3859,40";"0,0"
"10/02/2023";"1500";"27,8";"28,0";"27,0";"52,0";"56,0";"51,0";"17,1";"18,0";"16,7";"925,8";"926,3";"925,7";"3,3";"16,0";"7,5";"3261,70";"0,0"
"10/02/2023";"1600";"28,9";"29,2";"27,4";"47,0";"55,0";"47,0";"16,6";"18,7";"16,3";"925,1";"925,8";"925,1";"2,9";"339,0";"6,6";"3669,70";"0,0"
"10/02/2023";"1700";"29,4";"30,2";"28,2";"44,0";"50,0";"43,0";"15,8";"17,4";"15,5";"924,2";"925,1";"924,1";"2,6";"304,0";"7,5";"3404,40";"0,0"
"10/02/2023";"1800";"25,4";"29,3";"25,3";"69,0";"69,0";"44,0";"19,3";"19,3";"15,5";"924,0";"924,2";"923,9";"3,6";"220,0";"8,8";"802,10";"0,0"
"10/02/2023";"1900";"25,8";"25,8";"24,9";"66,0";"71,0";"65,0";"18,9";"19,6";"18,5";"923,9";"924,0";"923,8";"2,6";"206,0";"8,6";"1313,00";"0,0"
"10/02/2023";"2000";"25,3";"26,6";"25,3";"65,0";"66,0";"59,0";"18,2";"19,1";"17,5";"923,7";"924,0";"923,4";"2,6";"165,0";"5,8";"1580,10";"0,0"
"10/02/2023";"2100";"23,7";"25,3";"23,6";"72,0";"72,0";"65,0";"18,2";"18,4";"18,0";"923,9";"923,9";"923,6";"2,4";"161,0";"6,2";"209,90";"0,0"
"10/02/2023";"2200";"23,6";"23,7";"23,4";"71,0";"72,0";"70,0";"17,9";"18,2";"17,6";"925,0";"925,0";"923,8";"2,0";"160,0";"5,7";"24,50";"0,0"
"10/02/2023";"2300";"22,4";"23,6";"22,4";"75,0";"76,0";"71,0";"17,7";"18,4";"17,7";"926,0";"926,0";"925,0";"3,7";"131,0";"10,0";"";"0,0"
