"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/02/2023";"0000";"25,7";"26,5";"25,7";"69,0";"75,0";"68,0";"19,6";"21,3";"19,6";"1011,2";"1011,2";"1010,2";"3,3";"72,0";"6,8";"";"0,0"
"10/02/2023";"0100";"25,7";"25,8";"25,5";"70,0";"70,0";"68,0";"19,7";"19,7";"19,4";"1011,5";"1011,5";"1011,2";"2,8";"61,0";"6,2";"";"0,0"
"10/02/2023";"0200";"24,6";"25,6";"24,6";"76,0";"76,0";"70,0";"20,1";"20,2";"19,7";"1011,4";"1011,5";"1011,3";"0,9";"60,0";"5,5";"";"0,0"
"10/02/2023";"0300";"23,8";"24,6";"23,8";"82,0";"82,0";"76,0";"20,5";"20,7";"20,0";"1011,2";"1011,4";"1011,1";"0,9";"33,0";"2,8";"";"0,0"
"10/02/2023";"0400";"23,4";"24,1";"23,4";"86,0";"86,0";"81,0";"21,0";"21,0";"20,5";"1011,1";"1011,3";"1011,0";"1,2";"31,0";"3,0";"";"0,0"
"10/02/2023";"0500";"22,8";"23,4";"22,6";"91,0";"91,0";"86,0";"21,2";"21,2";"20,8";"1010,2";"1011,1";"1010,2";"1,1";"41,0";"3,0";"";"0,0"
"10/02/2023";"0600";"22,8";"23,0";"22,4";"91,0";"93,0";"90,0";"21,2";"21,4";"21,0";"1010,1";"1010,2";"1010,0";"1,1";"28,0";"3,2";"";"0,0"
"10/02/2023";"0700";"22,0";"22,8";"21,6";"95,0";"96,0";"90,0";"21,1";"21,3";"20,6";"1010,2";"1010,3";"1010,1";"1,0";"35,0";"2,1";"";"0,0"
"10/02/2023";"0800";"21,4";"22,0";"21,0";"95,0";"96,0";"93,0";"20,7";"21,2";"20,0";"1010,9";"1010,9";"1010,2";"0,6";"96,0";"1,9";"";"0,0"
"10/02/2023";"0900";"20,6";"21,4";"20,6";"96,0";"97,0";"95,0";"20,0";"20,7";"20,0";"1011,2";"1011,3";"1010,8";"0,4";"62,0";"1,3";"1,00";"0,0"
"10/02/2023";"1000";"22,9";"22,9";"20,4";"90,0";"97,0";"90,0";"21,2";"21,3";"19,8";"1011,9";"1011,9";"1011,2";"0,3";"321,0";"1,0";"246,90";"0,0"
"10/02/2023";"1100";"24,7";"25,0";"22,6";"89,0";"90,0";"82,0";"22,8";"22,8";"20,5";"1012,4";"1012,4";"1011,9";"1,6";"197,0";"3,2";"949,30";"0,0"
"10/02/2023";"1200";"26,7";"27,2";"24,4";"79,0";"90,0";"77,0";"22,8";"23,7";"22,4";"1012,5";"1012,5";"1012,3";"1,2";"290,0";"3,2";"1641,50";"0,0"
"10/02/2023";"1300";"28,2";"29,0";"26,5";"75,0";"79,0";"66,0";"23,5";"24,0";"21,3";"1012,5";"1012,6";"1012,5";"1,4";"272,0";"3,2";"2392,70";"0,0"
"10/02/2023";"1400";"29,0";"29,4";"27,7";"68,0";"79,0";"68,0";"22,4";"24,3";"22,4";"1012,4";"1012,5";"1012,4";"3,3";"203,0";"4,7";"2925,60";"0,0"
"10/02/2023";"1500";"29,9";"30,4";"29,0";"65,0";"70,0";"57,0";"22,7";"24,1";"20,5";"1012,1";"1012,4";"1012,1";"4,0";"173,0";"7,4";"3559,20";"0,0"
"10/02/2023";"1600";"31,4";"31,8";"29,7";"55,0";"67,0";"54,0";"21,4";"23,7";"20,8";"1011,7";"1012,1";"1011,6";"3,8";"159,0";"7,4";"3721,50";"0,0"
"10/02/2023";"1700";"31,6";"32,3";"31,0";"50,0";"56,0";"42,0";"19,8";"21,1";"17,5";"1011,3";"1011,7";"1011,3";"4,6";"136,0";"7,6";"3683,60";"0,0"
"10/02/2023";"1800";"31,7";"32,4";"31,5";"52,0";"52,0";"43,0";"20,4";"20,8";"18,1";"1010,6";"1011,3";"1010,6";"5,1";"157,0";"8,2";"3362,90";"0,0"
"10/02/2023";"1900";"31,6";"32,2";"31,4";"50,0";"52,0";"43,0";"19,8";"21,0";"17,7";"1010,0";"1010,6";"1010,0";"5,1";"136,0";"8,2";"2761,10";"0,0"
"10/02/2023";"2000";"31,3";"32,1";"31,1";"51,0";"58,0";"50,0";"20,1";"22,1";"20,0";"1009,7";"1010,0";"1009,6";"4,3";"123,0";"8,3";"2013,70";"0,0"
"10/02/2023";"2100";"29,9";"31,4";"29,9";"51,0";"54,0";"49,0";"18,7";"20,7";"18,3";"1009,8";"1009,9";"1009,6";"4,7";"121,0";"8,4";"1224,00";"0,0"
"10/02/2023";"2200";"27,8";"29,9";"27,8";"65,0";"65,0";"49,0";"20,6";"20,6";"18,0";"1010,3";"1010,3";"1009,8";"4,0";"97,0";"7,4";"380,20";"0,0"
"10/02/2023";"2300";"26,0";"27,8";"26,0";"78,0";"78,0";"65,0";"21,9";"21,9";"20,6";"1011,0";"1011,0";"1010,3";"2,7";"79,0";"6,6";"9,70";"0,0"
