"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"10/02/2023";"0000";"26,2";"27,2";"26,2";"67,0";"70,0";"66,0";"19,6";"20,9";"19,4";"1006,1";"1006,1";"1005,4";"2,2";"114,0";"6,4";"";"0,0"
"10/02/2023";"0100";"25,5";"26,2";"25,5";"71,0";"71,0";"67,0";"19,8";"19,8";"19,4";"1006,5";"1006,5";"1006,1";"1,5";"103,0";"6,6";"";"0,0"
"10/02/2023";"0200";"25,3";"25,6";"25,2";"72,0";"72,0";"70,0";"19,8";"19,9";"19,7";"1006,3";"1006,5";"1006,2";"1,3";"86,0";"4,8";"";"0,0"
"10/02/2023";"0300";"24,6";"25,4";"24,6";"79,0";"79,0";"70,0";"20,8";"20,8";"19,6";"1006,3";"1006,3";"1006,0";"1,8";"110,0";"4,3";"";"0,0"
"10/02/2023";"0400";"24,2";"24,6";"24,0";"80,0";"81,0";"79,0";"20,5";"20,7";"20,5";"1006,0";"1006,4";"1006,0";"0,6";"105,0";"4,3";"";"0,0"
"10/02/2023";"0500";"23,9";"24,2";"23,8";"82,0";"83,0";"80,0";"20,7";"20,7";"20,5";"1005,2";"1006,0";"1005,2";"1,1";"106,0";"2,2";"";"0,0"
"10/02/2023";"0600";"23,2";"23,9";"23,2";"84,0";"85,0";"82,0";"20,4";"20,7";"20,4";"1005,2";"1005,2";"1005,0";"0,4";"115,0";"2,2";"";"0,0"
"10/02/2023";"0700";"23,2";"23,5";"23,1";"87,0";"87,0";"84,0";"20,9";"20,9";"20,4";"1005,4";"1005,4";"1005,1";"0,9";"99,0";"2,1";"";"0,0"
"10/02/2023";"0800";"22,8";"23,2";"22,8";"89,0";"89,0";"87,0";"20,8";"21,1";"20,8";"1005,7";"1005,8";"1005,4";"0,5";"131,0";"1,7";"";"0,0"
"10/02/2023";"0900";"22,3";"22,8";"22,3";"90,0";"90,0";"89,0";"20,5";"20,8";"20,5";"1006,3";"1006,3";"1005,7";"0,7";"103,0";"1,2";"";"0,0"
"10/02/2023";"1000";"25,3";"25,3";"22,1";"78,0";"90,0";"78,0";"21,2";"21,5";"20,3";"1006,9";"1006,9";"1006,3";"0,3";"85,0";"1,5";"166,90";"0,0"
"10/02/2023";"1100";"27,6";"28,0";"25,2";"70,0";"78,0";"70,0";"21,6";"22,3";"20,9";"1007,2";"1007,2";"1006,9";"0,7";"134,0";"1,6";"891,30";"0,0"
"10/02/2023";"1200";"28,8";"29,0";"27,0";"66,0";"73,0";"64,0";"21,8";"22,3";"21,1";"1007,5";"1007,5";"1007,2";"1,0";"43,0";"2,8";"1725,20";"0,0"
"10/02/2023";"1300";"30,8";"30,8";"28,4";"53,0";"66,0";"52,0";"20,2";"21,8";"19,9";"1007,5";"1007,6";"1007,5";"1,0";"142,0";"2,8";"2479,80";"0,0"
"10/02/2023";"1400";"32,5";"32,7";"30,0";"46,0";"54,0";"44,0";"19,3";"20,7";"18,7";"1007,3";"1007,5";"1007,2";"0,9";"144,0";"3,1";"3011,00";"0,0"
"10/02/2023";"1500";"32,4";"32,8";"31,4";"54,0";"56,0";"42,0";"22,1";"22,2";"18,0";"1006,9";"1007,3";"1006,9";"2,1";"300,0";"5,1";"3127,50";"0,0"
"10/02/2023";"1600";"31,8";"34,0";"31,8";"54,0";"54,0";"47,0";"21,3";"22,6";"20,5";"1006,4";"1006,9";"1006,4";"1,3";"159,0";"5,3";"2693,80";"0,0"
"10/02/2023";"1700";"31,8";"35,0";"31,7";"47,0";"55,0";"43,0";"19,1";"22,3";"18,1";"1006,2";"1006,4";"1006,1";"1,7";"84,0";"5,9";"1721,10";"0,0"
"10/02/2023";"1800";"34,6";"34,6";"30,9";"37,0";"49,0";"37,0";"17,7";"19,7";"17,7";"1005,4";"1006,2";"1005,4";"1,1";"112,0";"4,3";"2732,40";"0,0"
"10/02/2023";"1900";"34,3";"35,4";"33,9";"33,0";"39,0";"29,0";"15,8";"18,4";"14,8";"1004,6";"1005,4";"1004,6";"1,8";"146,0";"6,4";"2815,60";"0,0"
"10/02/2023";"2000";"32,2";"34,3";"32,2";"42,0";"44,0";"33,0";"17,6";"18,7";"15,3";"1004,5";"1004,6";"1004,3";"3,3";"128,0";"8,1";"2122,20";"0,0"
"10/02/2023";"2100";"30,9";"32,5";"30,9";"47,0";"49,0";"39,0";"18,4";"19,0";"16,6";"1004,7";"1004,8";"1004,4";"2,2";"135,0";"7,2";"1260,10";"0,0"
"10/02/2023";"2200";"28,7";"30,9";"28,7";"60,0";"60,0";"45,0";"20,2";"20,2";"17,2";"1005,2";"1005,2";"1004,7";"3,0";"122,0";"8,3";"354,30";"0,0"
"10/02/2023";"2300";"26,3";"28,7";"26,3";"74,0";"74,0";"60,0";"21,3";"21,3";"20,2";"1006,1";"1006,1";"1005,3";"2,0";"113,0";"8,4";"5,10";"0,0"
