,time,datetime,LST_Night_1km
1,1609545600000,2021-01-02,23.510000000000048
2,1609632000000,2021-01-03,20.650000000000034
3,1609718400000,2021-01-04,23.83000000000004
7,1610064000000,2021-01-08,25.170000000000016
8,1610150400000,2021-01-09,25.910000000000025
13,1610582400000,2021-01-14,21.77000000000004
14,1610668800000,2021-01-15,22.470000000000027
16,1610841600000,2021-01-17,18.390000000000043
18,1611014400000,2021-01-19,20.49000000000001
19,1611100800000,2021-01-20,23.730000000000018
20,1611187200000,2021-01-21,18.890000000000043
23,1611446400000,2021-01-24,23.370000000000005
25,1611619200000,2021-01-26,22.870000000000005
32,1612224000000,2021-02-02,24.010000000000048
33,1612310400000,2021-02-03,23.49000000000001
35,1612483200000,2021-02-05,21.430000000000007
36,1612569600000,2021-02-06,18.930000000000007
37,1612656000000,2021-02-07,22.870000000000005
38,1612742400000,2021-02-08,22.350000000000023
42,1613088000000,2021-02-12,22.83000000000004
44,1613260800000,2021-02-14,19.350000000000023
47,1613520000000,2021-02-17,23.05000000000001
49,1613692800000,2021-02-19,23.510000000000048
51,1613865600000,2021-02-21,23.690000000000055
55,1614211200000,2021-02-25,23.710000000000036
56,1614297600000,2021-02-26,24.170000000000016
57,1614384000000,2021-02-27,22.810000000000002
59,1614556800000,2021-03-01,19.170000000000016
60,1614643200000,2021-03-02,22.450000000000045
65,1615075200000,2021-03-07,22.090000000000032
66,1615161600000,2021-03-08,21.77000000000004
67,1615248000000,2021-03-09,20.090000000000032
69,1615420800000,2021-03-11,22.130000000000052
71,1615593600000,2021-03-13,21.57000000000005
72,1615680000000,2021-03-14,23.650000000000034
74,1615852800000,2021-03-16,22.390000000000043
83,1616630400000,2021-03-25,21.870000000000005
87,1616976000000,2021-03-29,22.230000000000018
88,1617062400000,2021-03-30,20.110000000000014
90,1617235200000,2021-04-01,20.870000000000005
91,1617321600000,2021-04-02,18.910000000000025
92,1617408000000,2021-04-03,16.950000000000045
93,1617494400000,2021-04-04,20.150000000000034
94,1617580800000,2021-04-05,21.450000000000045
96,1617753600000,2021-04-07,21.410000000000025
97,1617840000000,2021-04-08,21.350000000000023
101,1618185600000,2021-04-12,12.930000000000007
102,1618272000000,2021-04-13,19.970000000000027
103,1618358400000,2021-04-14,19.510000000000048
104,1618444800000,2021-04-15,16.190000000000055
107,1618704000000,2021-04-18,19.750000000000057
108,1618790400000,2021-04-19,21.110000000000014
109,1618876800000,2021-04-20,17.870000000000005
110,1618963200000,2021-04-21,19.450000000000045
113,1619222400000,2021-04-24,20.750000000000057
115,1619395200000,2021-04-26,18.370000000000005
116,1619481600000,2021-04-27,15.590000000000032
117,1619568000000,2021-04-28,18.27000000000004
118,1619654400000,2021-04-29,16.910000000000025
119,1619740800000,2021-04-30,18.27000000000004
120,1619827200000,2021-05-01,18.99000000000001
121,1619913600000,2021-05-02,17.350000000000023
122,1620000000000,2021-05-03,19.930000000000007
126,1620345600000,2021-05-07,9.970000000000027
127,1620432000000,2021-05-08,12.550000000000011
128,1620518400000,2021-05-09,15.610000000000014
129,1620604800000,2021-05-10,17.590000000000032
131,1620777600000,2021-05-12,11.650000000000034
132,1620864000000,2021-05-13,12.890000000000043
133,1620950400000,2021-05-14,14.350000000000023
134,1621036800000,2021-05-15,14.650000000000034
135,1621123200000,2021-05-16,15.310000000000002
138,1621382400000,2021-05-19,14.210000000000036
142,1621728000000,2021-05-23,14.910000000000025
144,1621900800000,2021-05-25,11.090000000000032
145,1621987200000,2021-05-26,12.310000000000002
147,1622160000000,2021-05-28,13.950000000000045
149,1622332800000,2021-05-30,13.210000000000036
150,1622419200000,2021-05-31,10.370000000000005
151,1622505600000,2021-06-01,10.830000000000041
153,1622678400000,2021-06-03,13.750000000000057
154,1622764800000,2021-06-04,14.170000000000016
157,1623024000000,2021-06-07,9.430000000000007
158,1623110400000,2021-06-08,5.710000000000036
160,1623283200000,2021-06-10,15.610000000000014
163,1623542400000,2021-06-13,12.950000000000045
164,1623628800000,2021-06-14,12.450000000000045
165,1623715200000,2021-06-15,14.110000000000014
168,1623974400000,2021-06-18,11.510000000000048
172,1624320000000,2021-06-22,10.650000000000034
175,1624579200000,2021-06-25,12.870000000000005
179,1624924800000,2021-06-29,9.310000000000002
181,1625097600000,2021-07-01,7.730000000000018
182,1625184000000,2021-07-02,10.310000000000002
183,1625270400000,2021-07-03,9.730000000000018
184,1625356800000,2021-07-04,8.970000000000027
186,1625529600000,2021-07-06,11.450000000000045
187,1625616000000,2021-07-07,12.57000000000005
189,1625788800000,2021-07-09,12.53000000000003
190,1625875200000,2021-07-10,13.53000000000003
191,1625961600000,2021-07-11,13.910000000000025
193,1626134400000,2021-07-13,12.950000000000045
197,1626480000000,2021-07-17,12.690000000000055
200,1626739200000,2021-07-20,8.470000000000027
202,1626912000000,2021-07-22,10.550000000000011
204,1627084800000,2021-07-24,13.870000000000005
208,1627430400000,2021-07-28,7.810000000000002
209,1627516800000,2021-07-29,8.170000000000016
210,1627603200000,2021-07-30,6.330000000000041
211,1627689600000,2021-07-31,8.57000000000005
213,1627862400000,2021-08-02,10.010000000000048
214,1627948800000,2021-08-03,9.950000000000045
216,1628121600000,2021-08-05,9.930000000000007
217,1628208000000,2021-08-06,13.57000000000005
218,1628294400000,2021-08-07,14.110000000000014
219,1628380800000,2021-08-08,14.230000000000018
220,1628467200000,2021-08-09,16.610000000000014
223,1628726400000,2021-08-12,10.29000000000002
224,1628812800000,2021-08-13,8.330000000000041
226,1628985600000,2021-08-15,13.810000000000002
229,1629244800000,2021-08-18,16.890000000000043
230,1629331200000,2021-08-19,15.970000000000027
231,1629417600000,2021-08-20,17.950000000000045
234,1629676800000,2021-08-23,17.390000000000043
238,1630022400000,2021-08-27,6.150000000000034
239,1630108800000,2021-08-28,13.57000000000005
241,1630281600000,2021-08-30,14.57000000000005
242,1630368000000,2021-08-31,17.090000000000032
243,1630454400000,2021-09-01,17.77000000000004
248,1630886400000,2021-09-06,16.29000000000002
252,1631232000000,2021-09-10,12.690000000000055
254,1631404800000,2021-09-12,15.610000000000014
255,1631491200000,2021-09-13,19.090000000000032
257,1631664000000,2021-09-15,10.370000000000005
258,1631750400000,2021-09-16,12.890000000000043
260,1631923200000,2021-09-18,14.450000000000045
262,1632096000000,2021-09-20,14.910000000000025
264,1632268800000,2021-09-22,15.470000000000027
267,1632528000000,2021-09-25,13.950000000000045
268,1632614400000,2021-09-26,17.07000000000005
269,1632700800000,2021-09-27,17.130000000000052
270,1632787200000,2021-09-28,19.610000000000014
272,1632960000000,2021-09-30,16.730000000000018
274,1633132800000,2021-10-02,15.610000000000014
277,1633392000000,2021-10-05,8.430000000000007
279,1633564800000,2021-10-07,12.670000000000016
280,1633651200000,2021-10-08,15.390000000000043
284,1633996800000,2021-10-12,16.670000000000016
285,1634083200000,2021-10-13,18.07000000000005
289,1634428800000,2021-10-17,5.830000000000041
290,1634515200000,2021-10-18,15.910000000000025
291,1634601600000,2021-10-19,18.03000000000003
292,1634688000000,2021-10-20,15.270000000000039
293,1634774400000,2021-10-21,17.650000000000034
294,1634860800000,2021-10-22,17.350000000000023
295,1634947200000,2021-10-23,18.950000000000045
297,1635120000000,2021-10-25,17.77000000000004
298,1635206400000,2021-10-26,20.410000000000025
299,1635292800000,2021-10-27,20.33000000000004
300,1635379200000,2021-10-28,22.410000000000025
301,1635465600000,2021-10-29,18.630000000000052
302,1635552000000,2021-10-30,20.190000000000055
304,1635724800000,2021-11-01,21.750000000000057
305,1635811200000,2021-11-02,22.33000000000004
308,1636070400000,2021-11-05,21.03000000000003
311,1636329600000,2021-11-08,18.890000000000043
312,1636416000000,2021-11-09,19.630000000000052
313,1636502400000,2021-11-10,18.670000000000016
315,1636675200000,2021-11-12,17.590000000000032
316,1636761600000,2021-11-13,19.210000000000036
317,1636848000000,2021-11-14,18.670000000000016
323,1637366400000,2021-11-20,18.870000000000005
324,1637452800000,2021-11-21,19.130000000000052
325,1637539200000,2021-11-22,23.150000000000034
326,1637625600000,2021-11-23,23.210000000000036
327,1637712000000,2021-11-24,19.07000000000005
328,1637798400000,2021-11-25,21.450000000000045
330,1637971200000,2021-11-27,17.07000000000005
332,1638144000000,2021-11-29,20.590000000000032
334,1638316800000,2021-12-01,21.250000000000057
336,1638489600000,2021-12-03,19.130000000000052
337,1638576000000,2021-12-04,20.850000000000023
339,1638748800000,2021-12-06,20.650000000000034
340,1638835200000,2021-12-07,18.610000000000014
341,1638921600000,2021-12-08,20.730000000000018
342,1639008000000,2021-12-09,18.690000000000055
343,1639094400000,2021-12-10,19.670000000000016
346,1639353600000,2021-12-13,22.49000000000001
350,1639699200000,2021-12-17,21.33000000000004
351,1639785600000,2021-12-18,21.110000000000014
