,time,datetime,LST_Night_1km
3,1609718400000,2021-01-04,22.730000000000018
7,1610064000000,2021-01-08,22.83000000000004
8,1610150400000,2021-01-09,22.79000000000002
13,1610582400000,2021-01-14,19.130000000000052
18,1611014400000,2021-01-19,17.010000000000048
19,1611100800000,2021-01-20,21.57000000000005
25,1611619200000,2021-01-26,20.310000000000002
32,1612224000000,2021-02-02,24.170000000000016
33,1612310400000,2021-02-03,23.130000000000052
36,1612569600000,2021-02-06,16.03000000000003
37,1612656000000,2021-02-07,20.910000000000025
38,1612742400000,2021-02-08,19.370000000000005
42,1613088000000,2021-02-12,21.29000000000002
47,1613520000000,2021-02-17,22.53000000000003
49,1613692800000,2021-02-19,21.730000000000018
50,1613779200000,2021-02-20,16.590000000000032
53,1614038400000,2021-02-23,24.670000000000016
55,1614211200000,2021-02-25,22.010000000000048
56,1614297600000,2021-02-26,21.230000000000018
57,1614384000000,2021-02-27,22.110000000000014
58,1614470400000,2021-02-28,22.630000000000052
60,1614643200000,2021-03-02,22.55000000000001
65,1615075200000,2021-03-07,19.230000000000018
68,1615334400000,2021-03-10,19.99000000000001
69,1615420800000,2021-03-11,20.410000000000025
71,1615593600000,2021-03-13,17.910000000000025
72,1615680000000,2021-03-14,21.810000000000002
77,1616112000000,2021-03-19,19.190000000000055
83,1616630400000,2021-03-25,21.05000000000001
87,1616976000000,2021-03-29,22.29000000000002
90,1617235200000,2021-04-01,17.590000000000032
91,1617321600000,2021-04-02,17.150000000000034
93,1617494400000,2021-04-04,15.170000000000016
94,1617580800000,2021-04-05,20.250000000000057
96,1617753600000,2021-04-07,20.210000000000036
102,1618272000000,2021-04-13,17.850000000000023
103,1618358400000,2021-04-14,18.03000000000003
104,1618444800000,2021-04-15,18.250000000000057
107,1618704000000,2021-04-18,19.310000000000002
108,1618790400000,2021-04-19,17.810000000000002
109,1618876800000,2021-04-20,16.33000000000004
110,1618963200000,2021-04-21,13.390000000000043
113,1619222400000,2021-04-24,18.27000000000004
115,1619395200000,2021-04-26,15.270000000000039
116,1619481600000,2021-04-27,14.950000000000045
117,1619568000000,2021-04-28,14.010000000000048
118,1619654400000,2021-04-29,14.79000000000002
119,1619740800000,2021-04-30,15.670000000000016
120,1619827200000,2021-05-01,16.910000000000025
121,1619913600000,2021-05-02,16.710000000000036
122,1620000000000,2021-05-03,18.810000000000002
126,1620345600000,2021-05-07,11.710000000000036
127,1620432000000,2021-05-08,11.710000000000036
128,1620518400000,2021-05-09,14.090000000000032
129,1620604800000,2021-05-10,16.27000000000004
132,1620864000000,2021-05-13,9.410000000000025
133,1620950400000,2021-05-14,10.270000000000039
