Dia;hora;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);t_max;t_min;TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C)
01/01/2021;0;20.8;20.8;20.2;17.8;17.3
01/01/2021;100;20.4;20.8;20.4;17.5;17.1
01/01/2021;200;20.4;20.4;20.3;17.3;17.1
01/01/2021;300;21;21;20.4;17.3;16.9
01/01/2021;400;21;21.2;20.9;16.9;16.7
01/01/2021;500;20.8;21.1;20.7;17.3;16.9
01/01/2021;600;20.3;20.8;20.3;17.4;17.2
01/01/2021;700;20.3;20.3;20.2;17.4;17.4
01/01/2021;800;20.3;20.3;20.2;17.5;17.4
01/01/2021;900;20.4;20.4;20.2;17.4;17.3
01/01/2021;1000;20.9;20.9;20.4;17.6;17.4
01/01/2021;1100;21.3;21.4;20.9;17.6;17.3
01/01/2021;1200;21.5;21.8;21.3;17.8;17.3
01/01/2021;1300;22.1;22.2;21.4;17.9;17.4
01/01/2021;1400;23.8;24.5;22.1;18.6;17.2
01/01/2021;1500;24.5;25.3;23.2;18.4;16.6
01/01/2021;1600;25;25.4;24.2;18.9;16.4
01/01/2021;1700;26.4;27.2;25;18.9;16.5
01/01/2021;1800;21.3;26.6;21.3;17.8;16.3
01/01/2021;1900;19.3;21.2;18.2;18.5;16.5
01/01/2021;2000;19.9;19.9;18.3;19.3;17.6
01/01/2021;2100;20.5;20.7;19.8;20.1;19.3
01/01/2021;2200;20.7;21;20.5;20.2;19.6
01/01/2021;2300;20.5;20.9;20.5;19.7;19.1
02/01/2021;0;21;21.1;20.5;19.4;19.1
02/01/2021;100;20.6;21;20.6;19.3;19.2
02/01/2021;200;20.3;20.6;20.2;19.3;19.1
02/01/2021;300;20.2;20.5;20.2;19.7;19.3
02/01/2021;400;19.8;20.2;19.8;19.3;18.9
02/01/2021;500;19.7;19.8;19.7;18.9;18.7
02/01/2021;600;19.7;19.8;19.6;18.7;18.2
02/01/2021;700;19.6;19.7;19.5;18.2;18
02/01/2021;800;19.7;19.7;19.6;18.1;18
02/01/2021;900;19.4;19.7;19.4;18.1;18
02/01/2021;1000;19.8;19.9;19.4;18.3;17.5
02/01/2021;1100;20.3;20.6;19.8;17.8;16.9
02/01/2021;1200;21.7;21.7;20.4;17.8;16.9
02/01/2021;1300;24.3;24.3;21.5;17.9;16.6
02/01/2021;1400;22.4;24.4;22.4;17.8;16.4
02/01/2021;1500;22.7;24.3;22.4;18;16.7
02/01/2021;1600;24.5;25.2;22.6;18;16.9
02/01/2021;1700;23.9;24.8;23.1;17.5;16.6
02/01/2021;1800;23.3;24;22.8;17.5;16.6
02/01/2021;1900;22.8;23.3;22.8;17;16.3
02/01/2021;2000;22.4;23.2;22.4;16.8;16
02/01/2021;2100;21.3;22.7;21.2;16.9;16.2
02/01/2021;2200;20.7;21.4;20.7;16.6;15.9
02/01/2021;2300;20.4;20.7;20.4;16.2;15.9
03/01/2021;0;19.8;20.4;19.8;16.4;16
03/01/2021;100;19.3;19.8;19.2;16.9;16.2
03/01/2021;200;19.4;19.5;19.2;16.9;15.5
03/01/2021;300;19.4;19.4;19.1;15.7;15.3
03/01/2021;400;18.9;19.4;18.8;15.6;15.4
03/01/2021;500;18.2;18.9;18.2;16;15.5
03/01/2021;600;18.2;18.2;18.1;16.7;16.1
03/01/2021;700;18.1;18.2;18.1;16.5;16
03/01/2021;800;17.9;18.1;17.9;16.2;16
03/01/2021;900;18.1;18.1;17.8;16.3;16.1
03/01/2021;1000;18.8;19.2;18.1;16.7;15.6
03/01/2021;1100;21.3;21.3;18.8;16.5;15.7
03/01/2021;1200;21.5;23.1;20.8;16.5;14.6
03/01/2021;1300;23.7;23.9;21.4;16.2;13.7
03/01/2021;1400;24.9;25.7;23.1;15.9;13
03/01/2021;1500;26;26.6;24.6;15.5;13.4
03/01/2021;1600;25.4;26.8;25.1;15.7;14.1
03/01/2021;1700;25.6;26.6;25.1;16;14.5
03/01/2021;1800;24.7;26.2;24.2;15.9;14.4
03/01/2021;1900;24.1;25.3;23.3;16;14.7
03/01/2021;2000;21.8;24.5;21.8;16.3;14.1
03/01/2021;2100;21.5;23.4;21.4;15.9;14.8
03/01/2021;2200;19.6;21.6;19.6;16;15.3
03/01/2021;2300;19.7;19.8;19.6;16.1;15
04/01/2021;0;19.7;19.8;19.7;15.2;14.9
04/01/2021;100;19.4;19.8;19.4;15;14.6
04/01/2021;200;18.8;19.5;18.7;15.5;14.7
04/01/2021;300;19.3;19.3;18.8;15.8;15.5
04/01/2021;400;19.2;19.4;19.2;15.7;15.3
04/01/2021;500;19.1;19.4;19.1;15.6;15.3
04/01/2021;600;19.3;19.3;19.1;15.5;15.3
04/01/2021;700;19;19.3;19;15.3;14.9
04/01/2021;800;18.7;19;18.6;15.2;14.8
04/01/2021;900;19.2;19.2;18.7;15.3;15
04/01/2021;1000;20.1;21.3;19.2;16.2;14.8
04/01/2021;1100;22;22.4;20.1;16.2;14.5
04/01/2021;1200;23.4;23.8;22;15.9;14.5
04/01/2021;1300;26;26.5;23.3;15.7;13.9
04/01/2021;1400;26.4;27.1;25.3;16;12.4
04/01/2021;1500;27.2;28;26;14.2;11.6
04/01/2021;1600;28.2;28.6;26.6;14.5;11.6
04/01/2021;1700;28.2;29.7;28;13.1;11
04/01/2021;1800;25.9;28.2;25.3;17.2;14
